x	y
666.098	520.669
665.602	501.865
696.675	501.772
696.855	209.550
621.276	208.806
621.268	193.038
790.511	192.893
790.511	209.097
715.386	209.687
715.591	501.566
744.423	501.566
744.423	520.968
