x	y
179.161	687.253
179.243	610.949
234.584	610.719
234.334	686.667
243.179	688.338
243.116	611.335
297.109	610.828
296.629	687.752
74.065	626.969
117.100	627.001
117.573	687.686
74.455	687.538
124.339	626.743
167.386	627.001
167.320	687.834
124.327	687.221
